experiment,sweep_value,alpha,gamma,theoretical_threshold,attacker_latency_ms,honest_latency_ms,pool_size,relative_revenue,relative_revenue_std,relative_revenue_ci95,revenue_gain,revenue_gain_std,revenue_gain_ci95,profitable,attacker_revenue,honest_revenue,orphaned_blocks,trials,blocks
latency_sweep,20.000000,0.200000,0.763333,0.160633,20.000000,100.000000,0.200000,0.210137,0.001843,0.001541,0.010137,0.001843,0.001541,True,17863,67143,14994,8,100000
latency_sweep,40.000000,0.200000,0.680000,0.195122,40.000000,100.000000,0.200000,0.201227,0.001476,0.001234,0.001227,0.001476,0.001234,True,17114,67934,14952,8,100000
latency_sweep,60.000000,0.200000,0.617500,0.216714,60.000000,100.000000,0.200000,0.194452,0.002097,0.001754,-0.005548,0.002097,0.001754,False,16538,68512,14949,8,100000
latency_sweep,80.000000,0.200000,0.568889,0.231504,80.000000,100.000000,0.200000,0.189272,0.001027,0.000859,-0.010728,0.001027,0.000859,False,16098,68954,14947,8,100000
latency_sweep,100.000000,0.200000,0.530000,0.242268,100.000000,100.000000,0.200000,0.184784,0.002403,0.002009,-0.015216,0.002403,0.002009,False,15723,69367,14910,8,100000
