experiment,sweep_value,alpha,gamma,theoretical_threshold,attacker_latency_ms,honest_latency_ms,pool_size,relative_revenue,relative_revenue_std,relative_revenue_ci95,revenue_gain,revenue_gain_std,revenue_gain_ci95,profitable,attacker_revenue,honest_revenue,orphaned_blocks,trials,blocks
pool_sweep,0.000000,0.200000,0.616667,0.216981,50.000000,100.000000,0.000000,0.194560,0.001967,0.001644,-0.005440,0.001967,0.001644,False,16539,68467,14994,8,100000
pool_sweep,0.100000,0.200000,0.631667,0.212092,50.000000,100.000000,0.100000,0.195988,0.001479,0.001237,-0.004012,0.001479,0.001237,False,16668,68379,14952,8,100000
pool_sweep,0.200000,0.200000,0.646667,0.207031,50.000000,100.000000,0.200000,0.197487,0.002127,0.001778,-0.002513,0.002127,0.001778,False,16796,68254,14949,8,100000
pool_sweep,0.300000,0.200000,0.661667,0.201789,50.000000,100.000000,0.300000,0.199298,0.000911,0.000762,-0.000702,0.000911,0.000762,False,16951,68102,14947,8,100000
pool_sweep,0.400000,0.200000,0.676667,0.196356,50.000000,100.000000,0.400000,0.200069,0.002291,0.001915,0.000069,0.002291,0.001915,True,17024,68066,14910,8,100000
pool_sweep,0.500000,0.200000,0.691667,0.190722,50.000000,100.000000,0.500000,0.201870,0.002312,0.001933,0.001870,0.002312,0.001933,True,17163,67856,14981,8,100000
