gamma,closed_form_threshold,empirical_threshold,residual
0.000000,0.333333,0.333896,0.000562
0.250000,0.300000,0.301654,0.001654
0.500000,0.250000,0.249338,-0.000662
0.750000,0.166667,0.165631,-0.001036
