experiment,sweep_value,alpha,gamma,theoretical_threshold,attacker_latency_ms,honest_latency_ms,pool_size,relative_revenue,relative_revenue_std,relative_revenue_ci95,revenue_gain,revenue_gain_std,revenue_gain_ci95,profitable,attacker_revenue,honest_revenue,orphaned_blocks,trials,blocks
legacy,0.290000,0.290000,0.750000,0.166667,,,,0.338433,0.002580,0.002157,0.048433,0.002580,0.002157,True,26885,52556,20559,8,100000
legacy,0.300000,0.300000,0.750000,0.166667,,,,0.354320,0.001292,0.001080,0.054320,0.001292,0.001080,True,27916,50872,21212,8,100000
legacy,0.310000,0.310000,0.750000,0.166667,,,,0.369575,0.002002,0.001674,0.059575,0.002002,0.001674,True,28888,49279,21833,8,100000
legacy,0.320000,0.320000,0.750000,0.166667,,,,0.386112,0.002756,0.002305,0.066112,0.002756,0.002305,True,29908,47552,22541,8,100000
legacy,0.330000,0.330000,0.750000,0.166667,,,,0.404849,0.003014,0.002520,0.074849,0.003014,0.002520,True,31036,45626,23337,8,100000
legacy,0.340000,0.340000,0.750000,0.166667,,,,0.421572,0.003320,0.002776,0.081572,0.003320,0.002776,True,32034,43954,24011,8,100000
legacy,0.350000,0.350000,0.750000,0.166667,,,,0.440728,0.004283,0.003581,0.090728,0.004283,0.003581,True,33119,42028,24853,8,100000
legacy,0.360000,0.360000,0.750000,0.166667,,,,0.460913,0.002156,0.001802,0.100913,0.002156,0.001802,True,34264,40076,25659,8,100000
legacy,0.370000,0.370000,0.750000,0.166667,,,,0.481284,0.003368,0.002817,0.111284,0.003368,0.002817,True,35350,38100,26550,8,100000
legacy,0.380000,0.380000,0.750000,0.166667,,,,0.500818,0.004370,0.003654,0.120818,0.004370,0.003654,True,36330,36213,27457,8,100000
legacy,0.390000,0.390000,0.750000,0.166667,,,,0.523066,0.005439,0.004547,0.133066,0.005439,0.004547,True,37435,34136,28428,8,100000
legacy,0.400000,0.400000,0.750000,0.166667,,,,0.547976,0.002662,0.002225,0.147976,0.002662,0.002225,True,38602,31844,29554,8,100000
legacy,0.410000,0.410000,0.750000,0.166667,,,,0.571626,0.003889,0.003252,0.161626,0.003889,0.003252,True,39624,29695,30680,8,100000
legacy,0.420000,0.420000,0.750000,0.166667,,,,0.599082,0.003674,0.003072,0.179082,0.003674,0.003072,True,40724,27254,32022,8,100000
legacy,0.430000,0.430000,0.750000,0.166667,,,,0.625238,0.003551,0.002970,0.195238,0.003551,0.002970,True,41760,25031,33209,8,100000
legacy,0.440000,0.440000,0.750000,0.166667,,,,0.657258,0.004863,0.004066,0.217258,0.004863,0.004066,True,42878,22361,34761,8,100000
legacy,0.450000,0.450000,0.750000,0.166667,,,,0.696164,0.010570,0.008839,0.246164,0.010570,0.008839,True,44119,19264,36617,8,100000
legacy,0.460000,0.460000,0.750000,0.166667,,,,0.736068,0.002715,0.002270,0.276068,0.002715,0.002270,True,45246,16224,38529,8,100000
legacy,0.470000,0.470000,0.750000,0.166667,,,,0.782101,0.007570,0.006330,0.312101,0.007570,0.006330,True,46341,12914,40745,8,100000
legacy,0.480000,0.480000,0.750000,0.166667,,,,0.836796,0.004492,0.003756,0.356796,0.004492,0.003756,True,47521,9269,43210,8,100000
legacy,0.490000,0.490000,0.750000,0.166667,,,,0.909078,0.008134,0.006802,0.419078,0.008134,0.006802,True,48788,4882,46330,8,100000
