experiment,sweep_value,alpha,gamma,theoretical_threshold,attacker_latency_ms,honest_latency_ms,pool_size,relative_revenue,relative_revenue_std,relative_revenue_ci95,revenue_gain,revenue_gain_std,revenue_gain_ci95,profitable,attacker_revenue,honest_revenue,orphaned_blocks,trials,blocks
legacy,0.420000,0.420000,0.000000,0.333333,,,,0.542612,0.005367,0.004488,0.122612,0.005367,0.004488,True,36903,31109,31988,8,100000
legacy,0.430000,0.430000,0.000000,0.333333,,,,0.577169,0.009835,0.008223,0.147169,0.009835,0.008223,True,38421,28154,33426,8,100000
legacy,0.440000,0.440000,0.000000,0.333333,,,,0.612194,0.006374,0.005330,0.172194,0.006374,0.005330,True,39872,25260,34867,8,100000
legacy,0.450000,0.450000,0.000000,0.333333,,,,0.651813,0.006420,0.005368,0.201813,0.006420,0.005368,True,41358,22095,36546,8,100000
legacy,0.460000,0.460000,0.000000,0.333333,,,,0.695890,0.007577,0.006335,0.235890,0.007577,0.006335,True,42878,18741,38381,8,100000
legacy,0.470000,0.470000,0.000000,0.333333,,,,0.755742,0.011886,0.009938,0.285742,0.011886,0.009938,True,44698,14453,40849,8,100000
legacy,0.480000,0.480000,0.000000,0.333333,,,,0.818476,0.008227,0.006879,0.338476,0.008227,0.006879,True,46304,10272,43423,8,100000
legacy,0.490000,0.490000,0.000000,0.333333,,,,0.890972,0.020384,0.017044,0.400972,0.020384,0.017044,True,47952,5882,46166,8,100000
legacy,0.010000,0.010000,0.250000,0.300000,,,,0.002783,0.000188,0.000157,-0.007217,0.000188,0.000157,False,276,98766,958,8,100000
legacy,0.020000,0.020000,0.250000,0.300000,,,,0.006497,0.000278,0.000232,-0.013503,0.000278,0.000232,False,637,97442,1921,8,100000
legacy,0.030000,0.030000,0.250000,0.300000,,,,0.010394,0.000378,0.000316,-0.019606,0.000378,0.000316,False,1010,96158,2832,8,100000
legacy,0.040000,0.040000,0.250000,0.300000,,,,0.014959,0.000425,0.000356,-0.025041,0.000425,0.000356,False,1440,94837,3722,8,100000
legacy,0.050000,0.050000,0.250000,0.300000,,,,0.020260,0.000371,0.000310,-0.029740,0.000371,0.000310,False,1933,93496,4570,8,100000
legacy,0.060000,0.060000,0.250000,0.300000,,,,0.025682,0.000944,0.000789,-0.034318,0.000944,0.000789,False,2430,92193,5377,8,100000
